import time: self [us] | cumulative | imported package
import time:       166 |        166 |   _io
import time:        31 |         31 |   marshal
import time:       201 |        201 |   posix
import time:       559 |        955 | _frozen_importlib_external
import time:       740 |        740 |   time
import time:       215 |        955 | zipimport
import time:        50 |         50 |     _codecs
import time:       527 |        576 |   codecs
import time:       934 |        934 |   encodings.aliases
import time:      1502 |       3011 | encodings
import time:       399 |        399 | encodings.utf_8
import time:        70 |         70 | _signal
import time:        27 |         27 |     _abc
import time:       143 |        169 |   abc
import time:       147 |        316 | io
import time:        40 |         40 |       _stat
import time:        82 |        122 |     stat
import time:       738 |        738 |     _collections_abc
import time:        44 |         44 |       errno
import time:        48 |         48 |       genericpath
import time:       107 |        198 |     posixpath
import time:       430 |       1487 |   os
import time:        70 |         70 |   _sitebuiltins
import time:       466 |        466 |   sitecustomize
import time:       443 |       2465 | site
import time:       710 |        710 |         django.utils
import time:       695 |        695 |           _datetime
import time:       314 |       1008 |         datetime
import time:        87 |         87 |             itertools
import time:       348 |        348 |             keyword
import time:        54 |         54 |               _operator
import time:       628 |        682 |             operator
import time:       412 |        412 |             reprlib
import time:        50 |         50 |             _collections
import time:       918 |       2495 |           collections
import time:        35 |         35 |           _functools
import time:       910 |       3439 |         functools
import time:       638 |        638 |                 types
import time:      1337 |       1974 |               enum
import time:        46 |         46 |                 _sre
import time:       298 |        298 |                   re._constants
import time:       451 |        749 |                 re._parser
import time:       229 |        229 |                 re._casefix
import time:       662 |       1685 |               re._compiler
import time:       360 |        360 |               copyreg
import time:       599 |       4617 |             re
import time:        41 |         41 |             _locale
import time:       977 |       5634 |           locale
import time:       592 |        592 |           signal
import time:       539 |        539 |             warnings
import time:       369 |        369 |             _weakrefset
import time:       914 |       1821 |           threading
import time:       810 |        810 |           contextlib
import time:       681 |        681 |           fcntl
import time:        38 |         38 |           msvcrt
import time:       706 |        706 |           _posixsubprocess
import time:       616 |        616 |           select
import time:       476 |        476 |             math
import time:       573 |       1049 |           selectors
import time:       858 |      12801 |         subprocess
import time:       474 |        474 |               weakref
import time:       251 |        725 |             copy
import time:       419 |       1143 |           django.utils.functional
import time:       396 |       1539 |         django.utils.regex_helper
import time:       748 |      20242 |       django.utils.version
import time:       586 |      20828 |     django
import time:       330 |      21157 |   django.core
import time:       455 |        455 |     importlib
import time:      1089 |       1089 |       importlib._abc
import time:       107 |       1196 |     importlib.util
import time:        36 |         36 |     importlib.machinery
import time:        20 |         20 |       _typing
import time:      1554 |       1574 |     typing
import time:       398 |       3657 |   pkgutil
import time:       628 |        628 |     gettext
import time:      1031 |       1659 |   argparse
import time:       544 |        544 |       _heapq
import time:       262 |        805 |     heapq
import time:       591 |       1396 |   difflib
import time:       784 |        784 |           _ast
import time:       893 |       1676 |         ast
import time:       317 |        317 |             _opcode
import time:       355 |        355 |             _opcode_metadata
import time:       352 |       1023 |           opcode
import time:       731 |       1754 |         dis
import time:       316 |        316 |         linecache
import time:       217 |        217 |           token
import time:        16 |         16 |           _tokenize
import time:       673 |        905 |         tokenize
import time:      1267 |       5916 |       inspect
import time:       172 |        172 |         django.utils.hashable
import time:       453 |        625 |       django.core.exceptions
import time:       190 |        190 |       django.utils.module_loading
import time:       303 |       7032 |     django.apps.config
import time:       945 |        945 |     django.apps.registry
import time:       226 |       8202 |   django.apps
import time:       646 |        646 |       textwrap
import time:       226 |        226 |         __future__
import time:       349 |        575 |       _colorize
import time:       640 |       1860 |     traceback
import time:       193 |        193 |           fnmatch
import time:       381 |        574 |         glob
import time:       621 |       1195 |       pathlib._abc
import time:        32 |         32 |           _winapi
import time:        25 |         25 |           nt
import time:        22 |         22 |           nt
import time:        22 |         22 |           nt
import time:        21 |         21 |           nt
import time:        21 |         21 |           nt
import time:        20 |         20 |           nt
import time:        21 |         21 |           nt
import time:       137 |        317 |         ntpath
import time:        18 |         18 |         pwd
import time:       334 |        334 |         grp
import time:       447 |       1115 |       pathlib._local
import time:       203 |       2512 |     pathlib
import time:       530 |        530 |     django.conf.global_settings
import time:       262 |        262 |         asgiref
import time:       239 |        239 |               concurrent
import time:        14 |         14 |                     _string
import time:       530 |        543 |                   string
import time:        17 |         17 |                   atexit
import time:       994 |       1553 |                 logging
import time:      1511 |       3064 |               concurrent.futures._base
import time:       538 |       3840 |             concurrent.futures
import time:       590 |        590 |               _socket
import time:       530 |        530 |               array
import time:       882 |       2002 |             socket
import time:      3082 |       3082 |               _ssl
import time:       386 |        386 |                   _struct
import time:       172 |        557 |                 struct
import time:       504 |        504 |                 binascii
import time:       439 |       1499 |               base64
import time:      1518 |       6098 |             ssl
import time:       275 |        275 |             asyncio.constants
import time:        93 |         93 |             asyncio.coroutines
import time:       459 |        459 |                 _contextvars
import time:        76 |        535 |               contextvars
import time:       217 |        217 |               asyncio.format_helpers
import time:        85 |         85 |                 asyncio.base_futures
import time:       121 |        121 |                 asyncio.exceptions
import time:       293 |        293 |                 asyncio.base_tasks
import time:       439 |        936 |               _asyncio
import time:       462 |       2149 |             asyncio.events
import time:       226 |        226 |             asyncio.futures
